방문지역,연령대,관광지,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
강릉,20대,합계(중복제외),30.02,1.59,1.76,5.81,1.04,1.94,0.64,0.3,33.84,10.49,4.2,2.48,1.14,0.87,2.02,1.61,0.24
강릉,20대,강릉교동,25.13,1.62,1.71,4.8,0.84,2.01,0.52,0.27,29.12,21.1,4.73,1.78,0.9,0.83,2.66,1.55,0.43
강릉,20대,강릉역앞,29.57,1.72,1.97,6.95,1.32,2.51,0.64,0.25,33.98,8.99,4.26,2.18,1.07,0.64,2.4,1.47,0.07
강릉,20대,강문해변,36.73,1.18,1.82,5.77,0.85,2.15,0.52,0.27,34.93,5.37,3.37,2.44,1.03,0.58,1.55,1.38,0.06
강릉,20대,경포호,30.08,1.3,1.39,6.17,0.87,1.86,0.67,0.34,37.71,6.28,5.34,2.81,1.16,0.75,1.75,1.34,0.17
강릉,20대,도깨비촬영지,28.07,1.75,1.97,9.21,0.66,1.75,0.66,0,31.8,10.96,4.61,3.95,0.44,1.32,1.1,1.54,0.22
강릉,20대,안목해변,33.91,1.18,1.35,5.66,1.13,1.76,0.55,0.24,35.82,8.09,3.68,1.85,1.11,0.67,1.44,1.39,0.18
강릉,20대,역전상권,29.63,2.23,1.76,6.12,1.06,1.49,0.69,0.27,31.81,14.2,2.55,1.91,1.44,0.74,2.34,1.33,0.43
강릉,20대,영진항,24.84,3.35,4.12,4.89,1.77,2.12,1.08,0.46,30,8.32,3.35,3.31,2.04,2.35,2.73,4.81,0.46
강릉,20대,오죽헌,14.87,0.86,0.65,4.96,0,2.16,0.43,0,28.66,34.05,7.11,1.29,0.65,0.65,2.59,0.86,0.22
강릉,20대,정동진,40.46,1.53,1.53,3.05,0.76,0.76,0,0,32.82,4.58,4.58,3.05,0.76,2.29,3.05,0.76,0
강릉,20대,주문진,27.81,1.96,1.31,6.53,1.44,2.22,0.65,0.13,32.64,10.97,4.57,3.52,0.91,1.17,1.7,1.96,0.52
강릉,20대,중앙로,26.65,1.79,1.87,5.9,0.88,1.79,0.54,0.24,28.33,20.18,3.4,2.25,1.02,0.73,2.62,1.51,0.29
강릉,20대,초당순두부마을,40.26,1.95,2.6,7.79,1.3,1.95,0,0,25.32,7.79,2.6,1.3,2.6,0,3.9,0.65,0
강릉,20대,포남시장,29.52,0.9,1.51,6.63,0.9,1.81,0.9,0.6,31.02,12.65,4.52,2.11,0.9,1.81,1.81,2.11,0.3
강릉,30대,합계(중복제외),31.95,1.61,1.39,5.63,0.8,1.56,0.72,0.67,34.84,10.22,3.33,2.54,0.77,0.71,1.68,1.37,0.22
강릉,30대,강릉교동,27.85,2.3,1.4,5.07,0.79,1.37,0.86,0.57,29.28,19.19,2.66,2.3,0.83,1.08,2.41,1.8,0.25
강릉,30대,강릉역앞,30.94,1.73,1.89,4.49,1.18,1.26,1.02,0.55,33.94,12.44,3.07,3.07,0.87,0.79,1.02,1.34,0.39
강릉,30대,강문해변,36.91,1.29,1.21,5.99,0.69,1.77,0.69,0.95,36.48,5.22,2.85,2.07,0.65,0.6,1.38,1.21,0.04
강릉,30대,경포호,31.85,1.58,1.44,6.14,0.68,1.69,0.98,0.68,38.26,5.09,4.47,2.83,0.68,0.75,1.46,1.26,0.14
강릉,30대,도깨비촬영지,29.07,3.52,0.88,6.61,2.2,2.64,0.44,0.44,36.12,8.81,2.64,0.88,0.88,0.44,3.08,1.32,0
강릉,30대,안목해변,35.45,0.91,1.12,5.89,0.74,1.19,0.28,0.81,36.71,7.61,3.23,2.31,0.74,0.67,1.09,1.16,0.11
강릉,30대,역전상권,29.92,2.08,1.73,5.72,0.52,1.04,1.39,0.52,28.71,17.52,2.86,2.69,0.78,0.78,2.17,1.3,0.26
강릉,30대,영진항,31.47,1.91,1.25,4.63,1.1,1.25,0.29,0.66,34.12,13.01,3.31,2.94,0.96,0.44,1.62,1.03,0
강릉,30대,오죽헌,22.76,0.81,0.81,2.44,0.81,0.81,0,0,26.02,30.08,1.63,0.81,0,0.81,4.88,6.5,0.81
강릉,30대,정동진,39.13,1.45,0,8.7,0,1.45,1.45,0,34.78,5.8,2.9,0,0,0,1.45,2.9,0
강릉,30대,주문진,31.8,2.51,0.7,6.69,0.42,1.39,0.42,0.14,36.12,9.76,3.77,2.51,0.56,0.7,1.81,0.56,0.14
강릉,30대,중앙로,27.92,1.73,1.85,4.5,0.88,1.77,0.85,0.54,32.81,15.85,2.62,2.77,0.69,0.73,2.27,1.69,0.54
강릉,30대,초당순두부마을,36.45,0.93,1.87,7.48,0.93,0,0,0.93,35.51,5.61,3.74,3.74,0,0,1.87,0.93,0
강릉,30대,포남시장,32.28,1.59,1.59,4.76,0.53,2.65,0,0.53,32.28,11.64,2.65,3.17,1.59,1.06,1.59,0,2.12
강릉,40대,합계(중복제외),27.02,1.24,1.43,5.82,0.71,1.56,0.81,0.48,37.59,12.34,3.27,2.31,0.87,0.73,1.92,1.61,0.28
강릉,40대,강릉교동,24.43,1.95,1.87,5.82,0.62,1.7,1.16,0.5,30.58,19.19,2.49,1.66,0.87,1.29,2.7,2.74,0.42
강릉,40대,강릉역앞,26.82,1.71,1.98,5.13,0.45,2.16,1.71,0.18,34.38,13.14,3.06,3.06,0.54,1.17,2.25,2.07,0.18
강릉,40대,강문해변,32.81,1.01,1.58,6.19,0.32,1.96,0.7,0.38,38.94,6.83,2.84,2.34,0.82,0.51,1.64,1.01,0.13
강릉,40대,경포호,28.09,1.29,1.66,6.26,0.9,1.42,0.78,0.78,42.28,5.36,3.85,2.29,0.78,0.81,1.78,1.39,0.27
강릉,40대,도깨비촬영지,22.56,1.22,0.61,10.37,0,1.22,1.83,0,39.02,9.15,5.49,3.66,0.61,0,3.05,1.22,0
강릉,40대,안목해변,30.71,0.66,0.81,4.94,0.58,1.58,0.31,0.66,43.03,7.42,3.51,2.09,0.7,0.31,1.31,1.12,0.27
강릉,40대,역전상권,25.34,1.38,1.59,4.35,0.85,1.17,1.48,0.42,31.07,22.69,3.08,1.7,0.64,1.17,1.38,1.59,0.11
강릉,40대,영진항,23.47,0.62,1.17,6.06,0.78,1.01,0.7,0.47,38.77,17.4,3.03,2.41,1.01,0.39,1.55,1.01,0.16
강릉,40대,오죽헌,27.87,4.92,0,5.74,0,0.82,1.64,0,25.41,17.21,1.64,1.64,3.28,1.64,1.64,5.74,0.82
강릉,40대,정동진,37.96,0.93,0,2.78,0.93,2.78,0.93,0,32.41,7.41,0.93,2.78,3.7,0,3.7,2.78,0
강릉,40대,주문진,22.94,0.8,1.01,7.04,0.7,1.41,0.3,0,40.34,10.56,6.44,2.82,0.91,0.91,2.31,1.01,0.5
강릉,40대,중앙로,23.71,1.75,1.83,4.6,0.94,1.79,1.22,0.33,29.53,21.67,2.69,2.53,1.02,1.06,2.32,2.69,0.33
강릉,40대,초당순두부마을,41.1,1.37,1.37,4.11,2.74,0,0,0,31.51,5.48,2.74,0,2.74,0,0,5.48,1.37
강릉,40대,포남시장,28.38,4.73,0.68,4.73,1.35,3.38,1.35,0.68,27.7,18.24,0.68,2.7,1.35,0.68,0.68,2.7,0
강릉,50대,합계(중복제외),26.38,1.95,1.54,5.97,0.76,1.81,0.91,0.37,34.86,13.02,3.32,2.29,1.09,0.94,2.54,1.94,0.31
강릉,50대,강릉교동,23.54,2.4,1.64,5.79,0.76,2.02,0.87,0.38,29.55,19.77,2.24,2.29,1.64,0.98,3.22,2.62,0.27
강릉,50대,강릉역앞,26.01,3.3,1.65,6.4,0.52,1.55,0.93,0.21,30.44,16.41,2.58,1.34,1.03,1.75,2.89,2.68,0.31
강릉,50대,강문해변,32.16,1.11,1.92,6.15,0.3,2.42,0.5,0.71,37.1,7.16,3.43,2.02,1.01,0.81,1.61,1.21,0.4
강릉,50대,경포호,28.84,1.63,1.93,6.89,1.16,1.97,1.24,0.51,38.04,4.28,3.55,2.52,1.2,0.94,2.57,2.57,0.17
강릉,50대,도깨비촬영지,26.72,2.29,2.29,9.16,0,2.29,1.53,0,37.4,7.63,3.05,1.53,1.53,0,1.53,3.05,0
강릉,50대,안목해변,31.48,1.63,1.26,6.31,1.07,1.35,0.56,0.14,39.33,7.1,3.27,2.1,0.79,0.7,1.73,1.03,0.14
